,username,in_reply_to_screen_name,type
2883,Pheven_GAMEZ,1,P
2825,Myke908,1,P
2821,kristinmj2,1,P
2820,Joannac_111,1,P
2819,JOHNL_III,1,P
2818,karistarit88,1,P
2817,_Cesar13__,1,P
2816,smartgirl2015,1,P
2814,RachelGMiller97,1,P
2813,CydneyAg18,1,P
2826,BigGucciJosh600,1,P
2812,AgMom12,1,P
2809,GavinMccallist1,1,P
2806,kassandraavila8,1,P
2803,emily_pearl888,1,P
2800,_abbeycadabbey_,1,P
2798,andersonag04,1,P
2794,lizrequenez_,1,P
2792,albertm_13,1,P
2791,phoenixx_brune,1,P
2788,EmmaTay35009951,1,P
2810,dpvman25,1,P
2886,nadia_karina15,1,P
2828,mimi__dinh,1,P
2836,damonique_16,1,P
2882,jcullison16,1,P
2881,marlenelimon_ma,1,P
2878,SusanaAguayo12,1,P
2873,aves2112,1,P
2869,rhall23,1,P
2866,maddiemiller__,1,P
2864,eric_aaaa,1,P
2863,JBallewGigEm06,1,P
2862,GL_parksguy,1,P
2833,DM_PC7,1,P
2860,Garner_99,1,P
2857,The0nlylamar_,1,P
2855,niqueee_99,1,P
2847,BradyNunn30,1,P
2844,tovaruriel32,1,P
2843,emno_73,1,P
2842,sharkey_hannah,1,P
25,allirox30,11,P
2839,levi_newell22,1,P
2837,Sam_Rae97,1,P
2859,ysabelm2001,1,P
1813,Johnrdz33,1,P
255,deme_garcia99,3,P
1809,edxardo8,1,P
765,EmilyNewby5,2,P
763,heylayy_,2,P
762,Val_Pal96,2,P
761,Da_Real_AG_,2,P
753,Corinne_M55,2,P
752,dog_rates,2,P
751,TheRealDJSaenz_,2,P
750,eddyduran93,2,P
745,titogonz03,2,P
766,ders_10,2,P
744,sjarvis00,2,P
741,8091914t,2,P
740,varriazola16,2,P
172,swagner19,4,P
734,oh_homiee,2,P
